Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,name,ID,Index
A0A075B6H7;A0A0C4DH55;P01624,P01624;A0A075B6H7;A0A0C4DH55,KV315_HUMAN;KV37_HUMAN;KVD07_HUMAN,IGKV3-15;IGKV3-7;IGKV3D-7,Probable non-functional immunoglobulin kappa variable 3-7,IGKV3-15;IGKV3-7;IGKV3D-7,A0A075B6H7;A0A0C4DH55;P01624,A0A075B6H7;A0A0C4DH55;P01624
A0A075B6H9,A0A075B6H9,LV469_HUMAN,IGLV4-69,Immunoglobulin lambda variable 4-69,IGLV4-69,A0A075B6H9,A0A075B6H9
A0A075B6I0,A0A075B6I0,LV861_HUMAN,IGLV8-61,Immunoglobulin lambda variable 8-61,IGLV8-61,A0A075B6I0,A0A075B6I0
A0A075B6K5;P80748,P80748;A0A075B6K5,LV321_HUMAN;LV39_HUMAN,IGLV3-21;IGLV3-9,Immunoglobulin lambda variable 3-9,IGLV3-21;IGLV3-9,A0A075B6K5;P80748,A0A075B6K5;P80748
A0A075B6S5;A0A0C4DH67;A0A0C4DH69,A0A075B6S5;A0A0C4DH67;A0A0C4DH69,KV108_HUMAN;KV109_HUMAN;KV127_HUMAN,IGKV1-27;IGKV1-8;IGKV1-9,Immunoglobulin kappa variable 1-27,IGKV1-27;IGKV1-8;IGKV1-9,A0A075B6S5;A0A0C4DH67;A0A0C4DH69,A0A075B6S5;A0A0C4DH67;A0A0C4DH69
A0A0A0MRZ8;P04433,P04433;A0A0A0MRZ8,KV311_HUMAN;KVD11_HUMAN,IGKV3-11;IGKV3D-11,Immunoglobulin kappa variable 3D-11,IGKV3-11;IGKV3D-11,A0A0A0MRZ8;P04433,A0A0A0MRZ8;P04433
A0A0B4J1X5;A0A0C4DH42;P01764;P01767;P01768;P01772;P0DP02;P0DP03,P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03,HV323_HUMAN;HV330_HUMAN;HV333_HUMAN;HV353_HUMAN;HV366_HUMAN;HV374_HUMAN;HVC05_HUMAN;HVC33_HUMAN,IGHV3-23;IGHV3-30;IGHV3-30-3;IGHV3-30-5;IGHV3-33;IGHV3-53;IGHV3-66;IGHV3-74,Immunoglobulin heavy variable 3-74,IGHV3-23;IGHV3-30;IGHV3-30-3;IGHV3-30-5;IGHV3-33;IGHV3-53;IGHV3-66;IGHV3-74,A0A0B4J1X5;A0A0C4DH42;P01764;P01767;P01768;P01772;P0DP02;P0DP03,A0A0B4J1X5;A0A0C4DH42;P01764;P01767;P01768;P01772;P0DP02;P0DP03
A0A0B4J2D5;P0DPI2,A0A0B4J2D5;P0DPI2,GAL3A_HUMAN;GAL3B_HUMAN,GATD3;GATD3B,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",GATD3;GATD3B,A0A0B4J2D5;P0DPI2,A0A0B4J2D5;P0DPI2
A0A0C4DH25,A0A0C4DH25,KVD20_HUMAN,IGKV3D-20,Immunoglobulin kappa variable 3D-20,IGKV3D-20,A0A0C4DH25,A0A0C4DH25
A0A0C4DH29,A0A0C4DH29,HV103_HUMAN,IGHV1-3,Immunoglobulin heavy variable 1-3,IGHV1-3,A0A0C4DH29,A0A0C4DH29
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08,P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08,HV434_HUMAN;HV439_HUMAN;HV459_HUMAN;HV461_HUMAN;HVD34_HUMAN;HVD82_HUMAN,IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61,Immunoglobulin heavy variable 4-61,IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61,A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08,A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08
A0A0C4DH68,A0A075B6R9;A0A0C4DH68,KV224_HUMAN,IGKV2-24,Immunoglobulin kappa variable 2-24,IGKV2-24,A0A0C4DH68,A0A0C4DH68
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432,P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73,KV106_HUMAN;KV112_HUMAN;KV139_HUMAN;KVD12_HUMAN;KVD39_HUMAN,IGKV1-12;IGKV1-39;IGKV1-6;IGKV1D-12;IGKV1D-39,Immunoglobulin kappa variable 1-6,IGKV1-12;IGKV1-39;IGKV1-6;IGKV1D-12;IGKV1D-39,A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432,A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432
A0A2R8Y619,A0A2R8Y619,H2BK1_HUMAN,H2BK1,Histone H2B type 2-K1,H2BK1,A0A2R8Y619,A0A2R8Y619
A0AV96;A0AV96-2,A0AV96;A0AV96-2,RBM47_HUMAN,RBM47,RNA-binding protein 47,RBM47,A0AV96;A0AV96-2,A0AV96;A0AV96-2
A0AVT1,A0AVT1;A0AVT1-2,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,UBA6,A0AVT1,A0AVT1
A0FGR8-6,A0FGR8;A0FGR8-2;A0FGR8-5;A0FGR8-6,ESYT2_HUMAN,ESYT2,Isoform 6 of Extended synaptotagmin-2,ESYT2,A0FGR8-6,A0FGR8-6
A0MZ66;A0MZ66-3,A0MZ66;A0MZ66-4;A0MZ66-7;A0MZ66-3;A0MZ66-5;A0MZ66-6;A0MZ66-8,SHOT1_HUMAN,SHTN1,Shootin-1,SHTN1,A0MZ66;A0MZ66-3,A0MZ66;A0MZ66-3
A1IGU5,A1IGU5,ARH37_HUMAN,ARHGEF37,Rho guanine nucleotide exchange factor 37,ARHGEF37,A1IGU5,A1IGU5
A1KXE4;A1KXE4-2,A1KXE4;A1KXE4-2,F168B_HUMAN,FAM168B,Myelin-associated neurite-outgrowth inhibitor,FAM168B,A1KXE4;A1KXE4-2,A1KXE4;A1KXE4-2
A1L0T0,A1L0T0,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,ILVBL,A1L0T0,A1L0T0
A1L170;A1L170-2,A1L170;A1L170-2,CA226_HUMAN,C1orf226,Uncharacterized protein C1orf226,C1orf226,A1L170;A1L170-2,A1L170;A1L170-2
A1L4H1,A1L4H1,SRCRL_HUMAN,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D,A1L4H1,A1L4H1
A1X283,A1X283,SPD2B_HUMAN,SH3PXD2B,SH3 and PX domain-containing protein 2B,SH3PXD2B,A1X283,A1X283
A2A288,A2A288;A2A288-3;A2A288-4,ZC12D_HUMAN,ZC3H12D,Probable ribonuclease ZC3H12D,ZC3H12D,A2A288,A2A288
A2RRP1,A2RRP1;A2RRP1-2,NBAS_HUMAN,NBAS,NBAS subunit of NRZ tethering complex,NBAS,A2RRP1,A2RRP1
A2RUC4,A2RUC4,TYW5_HUMAN,TYW5,tRNA wybutosine-synthesizing protein 5,TYW5,A2RUC4,A2RUC4
A3KMH1;A3KMH1-3,A3KMH1;A3KMH1-2;A3KMH1-3,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,VWA8,A3KMH1;A3KMH1-3,A3KMH1;A3KMH1-3
A3KN83;A3KN83-2;A3KN83-3,Q9Y2G9;A3KN83;A3KN83-2;A3KN83-3;A3KN83-4;Q9Y2G9-3,SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,SBNO1,A3KN83;A3KN83-2;A3KN83-3,A3KN83;A3KN83-2;A3KN83-3
A4D126;A4D126-2,A4D126;A4D126-2,ISPD_HUMAN,CRPPA,D-ribitol-5-phosphate cytidylyltransferase,CRPPA,A4D126;A4D126-2,A4D126;A4D126-2
A4D1P6,A4D1P6;A4D1P6-2;A4D1P6-3,WDR91_HUMAN,WDR91,WD repeat-containing protein 91,WDR91,A4D1P6,A4D1P6
A4D2B0,A4D2B0,MBLC1_HUMAN,MBLAC1,Metallo-beta-lactamase domain-containing protein 1,MBLAC1,A4D2B0,A4D2B0
A4FU69;A4FU69-3,A4FU69;A4FU69-3,EFCB5_HUMAN,EFCAB5,EF-hand calcium-binding domain-containing protein 5,EFCAB5,A4FU69;A4FU69-3,A4FU69;A4FU69-3
A5A3E0,A5A3E0,POTEF_HUMAN,POTEF,POTE ankyrin domain family member F,POTEF,A5A3E0,A5A3E0
A5D8V6,A5D8V6,VP37C_HUMAN,VPS37C,Vacuolar protein sorting-associated protein 37C,VPS37C,A5D8V6,A5D8V6
A5YKK6,A5YKK6;A5YKK6-2,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,CNOT1,A5YKK6,A5YKK6
A6H8Y1-2,A6H8Y1;A6H8Y1-2;A6H8Y1-6;A6H8Y1-7,BDP1_HUMAN,BDP1,Isoform 2 of Transcription factor TFIIIB component B'' homolog,BDP1,A6H8Y1-2,A6H8Y1-2
A6NC98,A6NC98;A6NC98-4;A6NC98-5,CC88B_HUMAN,CCDC88B,Coiled-coil domain-containing protein 88B,CCDC88B,A6NC98,A6NC98
A6NDG6,A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,PGP,A6NDG6,A6NDG6
A6NDU8,A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,RIMOC1,A6NDU8,A6NDU8
A6NFQ2;A6NFQ2-2;A6NFQ2-3,A6NFQ2;A6NFQ2-2;A6NFQ2-3,TCAF2_HUMAN,TCAF2,TRPM8 channel-associated factor 2,TCAF2,A6NFQ2;A6NFQ2-2;A6NFQ2-3,A6NFQ2;A6NFQ2-2;A6NFQ2-3
A6NHR9,A6NHR9;A6NHR9-2;A6NHR9-3,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMCHD1,A6NHR9,A6NHR9
A6NI72;A8MVU1;P14598,P14598;A6NI72;A8MVU1;P14598-2,NCF1B_HUMAN;NCF1C_HUMAN;NCF1_HUMAN,NCF1;NCF1B;NCF1C,Putative neutrophil cytosol factor 1B,NCF1;NCF1B;NCF1C,A6NI72;A8MVU1;P14598,A6NI72;A8MVU1;P14598
A6NIH7,A6NIH7;Q13432;Q13432-2,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,UNC119B,A6NIH7,A6NIH7
A6NJ78,A6NJ78,MET15_HUMAN,METTL15,12S rRNA N4-methylcytidine (m4C) methyltransferase,METTL15,A6NJ78,A6NJ78
A6NLP5,A6NLP5;A6NLP5-2,TTC36_HUMAN,TTC36,Tetratricopeptide repeat protein 36,TTC36,A6NLP5,A6NLP5
A6NMZ7,A6NMZ7;A6NMZ7-2,CO6A6_HUMAN,COL6A6,Collagen alpha-6(VI) chain,COL6A6,A6NMZ7,A6NMZ7
A6QL63;A6QL63-2;A6QL63-3,A6QL63;A6QL63-2;A6QL63-3,ABTB3_HUMAN,ABTB3,Ankyrin repeat and BTB/POZ domain-containing protein 3,ABTB3,A6QL63;A6QL63-2;A6QL63-3,A6QL63;A6QL63-2;A6QL63-3
A7KAX9;A7KAX9-2,A7KAX9;A7KAX9-2,RHG32_HUMAN,ARHGAP32,Rho GTPase-activating protein 32,ARHGAP32,A7KAX9;A7KAX9-2,A7KAX9;A7KAX9-2
A8CG34,A8CG34;Q96HA1;Q96HA1-2;Q6PJE2;Q96HA1-3;A8CG34-2;Q6PJE2-5,P121C_HUMAN,POM121C,Nuclear envelope pore membrane protein POM 121C,POM121C,A8CG34,A8CG34
A8MTJ3,A8MTJ3;P11488,GNAT3_HUMAN,GNAT3,Guanine nucleotide-binding protein G(t) subunit alpha-3,GNAT3,A8MTJ3,A8MTJ3
A8MXV4,A8MXV4,NUD19_HUMAN,NUDT19,Acyl-coenzyme A diphosphatase NUDT19,NUDT19,A8MXV4,A8MXV4
A9UHW6,A9UHW6;A9UHW6-2;A9UHW6-3,MI4GD_HUMAN,MIF4GD,MIF4G domain-containing protein,MIF4GD,A9UHW6,A9UHW6
B0I1T2,B0I1T2;B0I1T2-3;B0I1T2-4,MYO1G_HUMAN,MYO1G,Unconventional myosin-Ig,MYO1G,B0I1T2,B0I1T2
B1AK53,B1AK53,ESPN_HUMAN,ESPN,Espin,ESPN,B1AK53,B1AK53
B2RUZ4,B2RUZ4,SMIM1_HUMAN,SMIM1,Small integral membrane protein 1,SMIM1,B2RUZ4,B2RUZ4
B5ME19;Q99613,Q99613;B5ME19;Q99613-2,EIF3C_HUMAN;EIFCL_HUMAN,EIF3C;EIF3CL,Eukaryotic translation initiation factor 3 subunit C-like protein,EIF3C;EIF3CL,B5ME19;Q99613,B5ME19;Q99613
B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;P0CG08,B7ZAQ6;P0CG08;B7ZAQ6-2;B7ZAQ6-3,GPHRA_HUMAN;GPHRB_HUMAN,GPR89A;GPR89B,Golgi pH regulator A,GPR89A;GPR89B,B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;P0CG08,B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;P0CG08
C0HLS1,C0HLS1,OSCRI_HUMAN,SCRIB,SCRIB overlapping open reading frame protein,SCRIB,C0HLS1,C0HLS1
C9JLW8,C9JLW8,MCRI1_HUMAN,MCRIP1,Mapk-regulated corepressor-interacting protein 1,MCRIP1,C9JLW8,C9JLW8
E9PAV3,Q13765;E9PAV3;E9PAV3-2,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",NACA,E9PAV3,E9PAV3
E9PRG8,E9PRG8,CK098_HUMAN,C11orf98,Uncharacterized protein C11orf98,C11orf98,E9PRG8,E9PRG8
G9CGD6;G9CGD6-2;G9CGD6-3,Q8WWN9;G9CGD6;G9CGD6-2;G9CGD6-3;Q8WWN9-2,CNIPF_HUMAN,CNK3/IPCEF1,CNK3/IPCEF1 fusion protein,CNK3/IPCEF1,G9CGD6;G9CGD6-2;G9CGD6-3,G9CGD6;G9CGD6-2;G9CGD6-3
L0R8F8,L0R8F8,MIDUO_HUMAN,MIEF1,Mitochondrial ribosome and complex I assembly factor AltMIEF1,MIEF1,L0R8F8,L0R8F8
O00115;O00115-2,O00115;O00115-2,DNS2A_HUMAN,DNASE2,Deoxyribonuclease-2-alpha,DNASE2,O00115;O00115-2,O00115;O00115-2
O00116,O00116,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",AGPS,O00116,O00116
O00139-4,O00139;O00139-1;O00139-2;O00139-4;O00139-5,KIF2A_HUMAN,KIF2A,Isoform 4 of Kinesin-like protein KIF2A,KIF2A,O00139-4,O00139-4
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6,O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6,KITM_HUMAN,TK2,"Thymidine kinase 2, mitochondrial",TK2,O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6,O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6
O00148,O00148,DX39A_HUMAN,DDX39A,ATP-dependent RNA helicase DDX39A,DDX39A,O00148,O00148
O00151,O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,PDLIM1,O00151,O00151
O00154;O00154-4;O00154-6;O00154-7,O00154;O00154-4;O00154-2;O00154-3;O00154-5;O00154-6;O00154-7,BACH_HUMAN,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,ACOT7,O00154;O00154-4;O00154-6;O00154-7,O00154;O00154-4;O00154-6;O00154-7
O00159-3,O00159;O00159-3;O00159-2,MYO1C_HUMAN,MYO1C,Isoform 3 of Unconventional myosin-Ic,MYO1C,O00159-3,O00159-3
O00160,O00160,MYO1F_HUMAN,MYO1F,Unconventional myosin-If,MYO1F,O00160,O00160
O00161;O00161-2,O00161;O00161-2,SNP23_HUMAN,SNAP23,Synaptosomal-associated protein 23,SNAP23,O00161;O00161-2,O00161;O00161-2
O00165;O00165-2;O00165-5,O00165;O00165-2;O00165-3;O00165-5,HAX1_HUMAN,HAX1,HCLS1-associated protein X-1,HAX1,O00165;O00165-2;O00165-5,O00165;O00165-2;O00165-5
O00170,O00170,AIP_HUMAN,AIP,AH receptor-interacting protein,AIP,O00170,O00170
O00178,O00178,GTPB1_HUMAN,GTPBP1,GTP-binding protein 1,GTPBP1,O00178,O00178
O00182;O00182-2;O00182-3;O00182-6,O00182;O00182-2;O00182-3;O00182-4;O00182-5;O00182-6,LEG9_HUMAN,LGALS9,Galectin-9,LGALS9,O00182;O00182-2;O00182-3;O00182-6,O00182;O00182-2;O00182-3;O00182-6
O00186,O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,STXBP3,O00186,O00186
O00192;O00192-2,O00192;O00192-2,ARVC_HUMAN,ARVCF,Splicing regulator ARVCF,ARVCF,O00192;O00192-2,O00192;O00192-2
O00193,O00193,SMAP_HUMAN,SMAP,Small acidic protein,SMAP,O00193,O00193
O00194,O00194,RB27B_HUMAN,RAB27B,Ras-related protein Rab-27B,RAB27B,O00194,O00194
O00203;O00203-3,O00203;Q13367;O00203-3;Q13367-3;Q13367-4,AP3B1_HUMAN,AP3B1,AP-3 complex subunit beta-1,AP3B1,O00203;O00203-3,O00203;O00203-3
O00213;O00213-2,O00213;O00213-2,APBB1_HUMAN,APBB1,Amyloid beta precursor protein binding family B member 1,APBB1,O00213;O00213-2,O00213;O00213-2
O00214;O00214-2,O00214;O00214-2,LEG8_HUMAN,LGALS8,Galectin-8,LGALS8,O00214;O00214-2,O00214;O00214-2
O00221,O00221,IKBE_HUMAN,NFKBIE,NF-kappa-B inhibitor epsilon,NFKBIE,O00221,O00221
O00231;O00231-2,O00231;O00231-2,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,PSMD11,O00231;O00231-2,O00231;O00231-2
O00232,O00232;O00232-2,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,PSMD12,O00232,O00232
O00233;O00233-2,O00233;O00233-2,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,PSMD9,O00233;O00233-2,O00233;O00233-2
O00244,O00244,ATOX1_HUMAN,ATOX1,Copper transport protein ATOX1,ATOX1,O00244,O00244
O00255;O00255-2;O00255-3,O00255;O00255-2;O00255-3,MEN1_HUMAN,MEN1,Menin,MEN1,O00255;O00255-2;O00255-3,O00255;O00255-2;O00255-3
O00264,O00264;O00264-2,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,PGRMC1,O00264,O00264
O00267;O00267-2,O00267;O00267-2,SPT5H_HUMAN,SUPT5H,Transcription elongation factor SPT5,SUPT5H,O00267;O00267-2,O00267;O00267-2
O00268,O00268,TAF4_HUMAN,TAF4,Transcription initiation factor TFIID subunit 4,TAF4,O00268,O00268
O00273,O00273;O00273-2,DFFA_HUMAN,DFFA,DNA fragmentation factor subunit alpha,DFFA,O00273,O00273
O00291,O00291;O00291-3;O00291-4,HIP1_HUMAN,HIP1,Huntingtin-interacting protein 1,HIP1,O00291,O00291
O00299,O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,CLIC1,O00299,O00299
O00303,O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,EIF3F,O00303,O00303
O00329,O00329,PK3CD_HUMAN,PIK3CD,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",PIK3CD,O00329,O00329
O00330;O00330-3,O00330;O00330-3,ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",PDHX,O00330;O00330-3,O00330;O00330-3
O00339;O00339-2;O00339-3,O00339;O00339-2;O00339-3;O00339-4,MATN2_HUMAN,MATN2,Matrilin-2,MATN2,O00339;O00339-2;O00339-3,O00339;O00339-2;O00339-3
O00391,O00391;O00391-2,QSOX1_HUMAN,QSOX1,Sulfhydryl oxidase 1,QSOX1,O00391,O00391
O00401,O00401,WASL_HUMAN,WASL,Actin nucleation-promoting factor WASL,WASL,O00401,O00401
O00410;O00410-3,O00410;O00410-2;O00410-3,IPO5_HUMAN,IPO5,Importin-5,IPO5,O00410;O00410-3,O00410;O00410-3
O00418,O00418,EF2K_HUMAN,EEF2K,Eukaryotic elongation factor 2 kinase,EEF2K,O00418,O00418
O00422-2,O00422;O00422-2,SAP18_HUMAN,SAP18,Isoform 2 of Histone deacetylase complex subunit SAP18,SAP18,O00422-2,O00422-2
O00429-2;O00429-4,O00429;O00429-2;O00429-3;O00429-4;O00429-5;O00429-6;O00429-8;O00429-9,DNM1L_HUMAN,DNM1L,Isoform 4 of Dynamin-1-like protein,DNM1L,O00429-2;O00429-4,O00429-2;O00429-4
O00442,O00442;O00442-2,RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,RTCA,O00442,O00442
O00443,O00443;O00443-2,P3C2A_HUMAN,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,PIK3C2A,O00443,O00443
O00453;O00453-10;O00453-11;O00453-13;O00453-2;O00453-3;O00453-4;O00453-6,O00453;O00453-10;O00453-11;O00453-13;O00453-2;O00453-3;O00453-4;O00453-6,LST1_HUMAN,LST1,Leukocyte-specific transcript 1 protein,LST1,O00453;O00453-10;O00453-11;O00453-13;O00453-2;O00453-3;O00453-4;O00453-6,O00453;O00453-10;O00453-11;O00453-13;O00453-2;O00453-3;O00453-4;O00453-6
O00459,O00459,P85B_HUMAN,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta,PIK3R2,O00459,O00459
O00461,O00461,GOLI4_HUMAN,GOLIM4,Golgi integral membrane protein 4,GOLIM4,O00461,O00461
O00462,O00462,MANBA_HUMAN,MANBA,Beta-mannosidase,MANBA,O00462,O00462
O00468-6,O00468-6;O00468-7,AGRIN_HUMAN,AGRN,Isoform 6 of Agrin,AGRN,O00468-6,O00468-6
O00469-2,O00469;O00469-2;O00469-3,PLOD2_HUMAN,PLOD2,"Isoform 2 of Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",PLOD2,O00469-2,O00469-2
O00471,O00471,EXOC5_HUMAN,EXOC5,Exocyst complex component 5,EXOC5,O00471,O00471
O00478;O00478-2,O00478;O00481;P78410;O00481-2;O00481-3;O00481-4;P78410-2;P78410-3;O00478-2,BT3A3_HUMAN,BTN3A3,Butyrophilin subfamily 3 member A3,BTN3A3,O00478;O00478-2,O00478;O00478-2
O00479,O00479,HMGN4_HUMAN,HMGN4,High mobility group nucleosome-binding domain-containing protein 4,HMGN4,O00479,O00479
O00483,O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,NDUFA4,O00483,O00483
O00487,O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,PSMD14,O00487,O00487
O00488,O00488,ZN593_HUMAN,ZNF593,Zinc finger protein 593,ZNF593,O00488,O00488
O00499-10;O00499-11;O00499-2;O00499-4;O00499-6;O00499-7;O00499-8;O00499-9,O00499;O00499-10;O00499-11;O00499-2;O00499-3;O00499-4;O00499-5;O00499-6;O00499-7;O00499-8;O00499-9,BIN1_HUMAN,BIN1,Isoform BIN1-13 of Myc box-dependent-interacting protein 1,BIN1,O00499-10;O00499-11;O00499-2;O00499-4;O00499-6;O00499-7;O00499-8;O00499-9,O00499-10;O00499-11;O00499-2;O00499-4;O00499-6;O00499-7;O00499-8;O00499-9
O00505,O00505,IMA4_HUMAN,KPNA3,Importin subunit alpha-4,KPNA3,O00505,O00505
O00515,O00515,LAD1_HUMAN,LAD1,Ladinin-1,LAD1,O00515,O00515
O00519,O00519,FAAH1_HUMAN,FAAH,Fatty-acid amide hydrolase 1,FAAH,O00519,O00519
O00534,O00534;O00534-2;O00534-3;O00534-4,VMA5A_HUMAN,VWA5A,von Willebrand factor A domain-containing protein 5A,VWA5A,O00534,O00534
O00541;O00541-2,O00541;O00541-2,PESC_HUMAN,PES1,Pescadillo homolog,PES1,O00541;O00541-2,O00541;O00541-2
O00560-2,O00560-2,SDCB1_HUMAN,SDCBP,Isoform 2 of Syntenin-1,SDCBP,O00560-2,O00560-2
O00560;O00560-3,O00560;O00560-2;O00560-3,SDCB1_HUMAN,SDCBP,Syntenin-1,SDCBP.1,O00560;O00560-3,O00560;O00560-3
O00562;O00562-2,O00562;O00562-2,PITM1_HUMAN,PITPNM1,Membrane-associated phosphatidylinositol transfer protein 1,PITPNM1,O00562;O00562-2,O00562;O00562-2
O00566,O00566,MPP10_HUMAN,MPHOSPH10,U3 small nucleolar ribonucleoprotein protein MPP10,MPHOSPH10,O00566,O00566
O00567,O00567,NOP56_HUMAN,NOP56,Nucleolar protein 56,NOP56,O00567,O00567
O00571,O00571;O15523;Q9NQI0;O00571-2;O15523-2;Q9NQI0-2;Q9NQI0-3;Q9NQI0-4,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,DDX3X,O00571,O00571
O00584,O00584,RNT2_HUMAN,RNASET2,Ribonuclease T2,RNASET2,O00584,O00584
O00592;O00592-2,O00592;O00592-2,PODXL_HUMAN,PODXL,Podocalyxin,PODXL,O00592;O00592-2,O00592;O00592-2
O00625,O00625,PIR_HUMAN,PIR,Pirin,PIR,O00625,O00625
O00629,O00629,IMA3_HUMAN,KPNA4,Importin subunit alpha-3,KPNA4,O00629,O00629
O00635,O00635,TRI38_HUMAN,TRIM38,E3 ubiquitin-protein ligase TRIM38,TRIM38,O00635,O00635
O00712;O00712-4;O00712-5,O00712;O00712-4;O00712-5,NFIB_HUMAN,NFIB,Nuclear factor 1 B-type,NFIB,O00712;O00712-4;O00712-5,O00712;O00712-4;O00712-5
O00743;O00743-2;O00743-3,O00743;O00743-2;O00743-3,PPP6_HUMAN,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,PPP6C,O00743;O00743-2;O00743-3,O00743;O00743-2;O00743-3
O00746,O00746,NDKM_HUMAN,NME4,"Nucleoside diphosphate kinase, mitochondrial",NME4,O00746,O00746
O00750,O00750,P3C2B_HUMAN,PIK3C2B,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,PIK3C2B,O00750,O00750
O00754;O00754-2,O00754;O00754-2,MA2B1_HUMAN,MAN2B1,Lysosomal alpha-mannosidase,MAN2B1,O00754;O00754-2,O00754;O00754-2
O00757,O00757,F16P2_HUMAN,FBP2,"Fructose-1,6-bisphosphatase isozyme 2",FBP2,O00757,O00757
O00763;O00763-2;O00763-3,O00763;O00763-2;O00763-3,ACACB_HUMAN,ACACB,Acetyl-CoA carboxylase 2,ACACB,O00763;O00763-2;O00763-3,O00763;O00763-2;O00763-3
O00764,O00764;O00764-3,PDXK_HUMAN,PDXK,Pyridoxal kinase,PDXK,O00764,O00764
O14497,O14497;O14497-2;O14497-3,ARI1A_HUMAN,ARID1A,AT-rich interactive domain-containing protein 1A,ARID1A,O14497,O14497
O14498,O14498,ISLR_HUMAN,ISLR,Immunoglobulin superfamily containing leucine-rich repeat protein,ISLR,O14498,O14498
O14524;O14524-2,O14524;O14524-2,NEMP1_HUMAN,NEMP1,Nuclear envelope integral membrane protein 1,NEMP1,O14524;O14524-2,O14524;O14524-2
O14526;O14526-2;O14526-3,O14526;O14526-2;O14526-3,FCHO1_HUMAN,FCHO1,F-BAR domain only protein 1,FCHO1,O14526;O14526-2;O14526-3,O14526;O14526-2;O14526-3
O14530;O14530-2,O14530;O14530-2,TXND9_HUMAN,TXNDC9,Thioredoxin domain-containing protein 9,TXNDC9,O14530;O14530-2,O14530;O14530-2
O14545,O14545,TRAD1_HUMAN,TRAFD1,TRAF-type zinc finger domain-containing protein 1,TRAFD1,O14545,O14545
O14548,O14548,COX7R_HUMAN,COX7A2L,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",COX7A2L,O14548,O14548
