Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,name,ID,Index
Q9Y2I1,Q9Y2I1;Q9Y2I1-2,NISCH_HUMAN,NISCH,Nischarin,NISCH,Q9Y2I1,Q9Y2I1
Q9Y2I8;Q9Y2I8-2,Q9Y2I8;Q9Y2I8-3;Q9Y2I8-2,WDR37_HUMAN,WDR37,WD repeat-containing protein 37,WDR37,Q9Y2I8;Q9Y2I8-2,Q9Y2I8;Q9Y2I8-2
Q9Y2J2-2,Q9Y2J2;Q9Y2J2-2;Q9Y2J2-4,E41L3_HUMAN,EPB41L3,Isoform 2 of Band 4.1-like protein 3,EPB41L3,Q9Y2J2-2,Q9Y2J2-2
Q9Y2J8,Q9Y2J8,PADI2_HUMAN,PADI2,Protein-arginine deiminase type-2,PADI2,Q9Y2J8,Q9Y2J8
Q9Y2K2;Q9Y2K2-7;Q9Y2K2-8,Q9Y2K2;Q9Y2K2-7;Q9Y2K2-8,SIK3_HUMAN,SIK3,Serine/threonine-protein kinase SIK3,SIK3,Q9Y2K2;Q9Y2K2-7;Q9Y2K2-8,Q9Y2K2;Q9Y2K2-7;Q9Y2K2-8
Q9Y2K7,Q9Y2K7;Q9Y2K7-3,KDM2A_HUMAN,KDM2A,Lysine-specific demethylase 2A,KDM2A,Q9Y2K7,Q9Y2K7
Q9Y2L1,Q9Y2L1;Q9Y2L1-2,RRP44_HUMAN,DIS3,Exosome complex exonuclease RRP44,DIS3,Q9Y2L1,Q9Y2L1
Q9Y2L5;Q9Y2L5-2,Q9Y2L5;Q9Y2L5-2,TPPC8_HUMAN,TRAPPC8,Trafficking protein particle complex subunit 8,TRAPPC8,Q9Y2L5;Q9Y2L5-2,Q9Y2L5;Q9Y2L5-2
Q9Y2L9;Q9Y2L9-2;Q9Y2L9-3,Q9Y2L9;Q9Y2L9-2;Q9Y2L9-3,LRCH1_HUMAN,LRCH1,Leucine-rich repeat and calponin homology domain-containing protein 1,LRCH1,Q9Y2L9;Q9Y2L9-2;Q9Y2L9-3,Q9Y2L9;Q9Y2L9-2;Q9Y2L9-3
Q9Y2P5;Q9Y2P5-2,Q9Y2P5;Q9Y2P5-2,S27A5_HUMAN,SLC27A5,Long-chain fatty acid transport protein 5,SLC27A5,Q9Y2P5;Q9Y2P5-2,Q9Y2P5;Q9Y2P5-2
Q9Y2P8,Q9Y2P8,RCL1_HUMAN,RCL1,RNA 3'-terminal phosphate cyclase-like protein,RCL1,Q9Y2P8,Q9Y2P8
Q9Y2Q0;Q9Y2Q0-2;Q9Y2Q0-3,Q9Y2Q0;Q9Y2Q0-2;Q9Y2Q0-3,AT8A1_HUMAN,ATP8A1,Phospholipid-transporting ATPase IA,ATP8A1,Q9Y2Q0;Q9Y2Q0-2;Q9Y2Q0-3,Q9Y2Q0;Q9Y2Q0-2;Q9Y2Q0-3
Q9Y2Q3,Q9Y2Q3;Q9Y2Q3-2;Q9Y2Q3-3;Q9Y2Q3-4,GSTK1_HUMAN,GSTK1,Glutathione S-transferase kappa 1,GSTK1,Q9Y2Q3,Q9Y2Q3
Q9Y2Q5,Q9Y2Q5;Q9Y2Q5-2;Q9Y2Q5-3,LTOR2_HUMAN,LAMTOR2,Ragulator complex protein LAMTOR2,LAMTOR2,Q9Y2Q5,Q9Y2Q5
Q9Y2Q9,Q9Y2Q9,RT28_HUMAN,MRPS28,"28S ribosomal protein S28, mitochondrial",MRPS28,Q9Y2Q9,Q9Y2Q9
Q9Y2R0,Q9Y2R0,COA3_HUMAN,COA3,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial",COA3,Q9Y2R0,Q9Y2R0
Q9Y2R4,Q9Y2R4,DDX52_HUMAN,DDX52,Probable ATP-dependent RNA helicase DDX52,DDX52,Q9Y2R4,Q9Y2R4
Q9Y2R5,Q9Y2R5,RT17_HUMAN,MRPS17,"28S ribosomal protein S17, mitochondrial",MRPS17,Q9Y2R5,Q9Y2R5
Q9Y2R9,Q9Y2R9,RT07_HUMAN,MRPS7,"28S ribosomal protein S7, mitochondrial",MRPS7,Q9Y2R9,Q9Y2R9
Q9Y2S2-2,Q9Y2S2;Q9Y2S2-2,CRYL1_HUMAN,CRYL1,Isoform 2 of Lambda-crystallin homolog,CRYL1,Q9Y2S2-2,Q9Y2S2-2
Q9Y2S6,Q9Y2S6;A0A024R1R8,TMA7_HUMAN,TMA7,Translation machinery-associated protein 7,TMA7,Q9Y2S6,Q9Y2S6
Q9Y2S7,Q9Y2S7,PDIP2_HUMAN,POLDIP2,Polymerase delta-interacting protein 2,POLDIP2,Q9Y2S7,Q9Y2S7
Q9Y2T2,Q9Y2T2,AP3M1_HUMAN,AP3M1,AP-3 complex subunit mu-1,AP3M1,Q9Y2T2,Q9Y2T2
Q9Y2U8,Q9Y2U8,MAN1_HUMAN,LEMD3,Inner nuclear membrane protein Man1,LEMD3,Q9Y2U8,Q9Y2U8
Q9Y2V2,Q9Y2V2,CHSP1_HUMAN,CARHSP1,Calcium-regulated heat-stable protein 1,CARHSP1,Q9Y2V2,Q9Y2V2
Q9Y2V7,Q9Y2V7;Q9Y2V7-2,COG6_HUMAN,COG6,Conserved oligomeric Golgi complex subunit 6,COG6,Q9Y2V7,Q9Y2V7
Q9Y2W1,Q9Y2W1,TR150_HUMAN,THRAP3,Thyroid hormone receptor-associated protein 3,THRAP3,Q9Y2W1,Q9Y2W1
Q9Y2W2,Q9Y2W2,WBP11_HUMAN,WBP11,WW domain-binding protein 11,WBP11,Q9Y2W2,Q9Y2W2
Q9Y2W6;Q9Y2W6-3,Q9Y2W6;Q9Y2W6-3,TDRKH_HUMAN,TDRKH,Tudor and KH domain-containing protein,TDRKH,Q9Y2W6;Q9Y2W6-3,Q9Y2W6;Q9Y2W6-3
Q9Y2X0;Q9Y2X0-2;Q9Y2X0-3,Q9Y2X0;Q9Y2X0-2;Q9Y2X0-3;Q9Y2X0-4;Q9Y2X0-5,MED16_HUMAN,MED16,Mediator of RNA polymerase II transcription subunit 16,MED16,Q9Y2X0;Q9Y2X0-2;Q9Y2X0-3,Q9Y2X0;Q9Y2X0-2;Q9Y2X0-3
Q9Y2X3,Q9Y2X3,NOP58_HUMAN,NOP58,Nucleolar protein 58,NOP58,Q9Y2X3,Q9Y2X3
Q9Y2X7;Q9Y2X7-3,Q9Y2X7;Q9Y2X7-3,GIT1_HUMAN,GIT1,ARF GTPase-activating protein GIT1,GIT1,Q9Y2X7;Q9Y2X7-3,Q9Y2X7;Q9Y2X7-3
Q9Y2Y9,Q9Y2Y9,KLF13_HUMAN,KLF13,Krueppel-like factor 13,KLF13,Q9Y2Y9,Q9Y2Y9
Q9Y2Z0,Q9Y2Z0;Q9Y2Z0-2,SGT1_HUMAN,SUGT1,Protein SGT1 homolog,SUGT1,Q9Y2Z0,Q9Y2Z0
Q9Y2Z2-2;Q9Y2Z2-4;Q9Y2Z2-6,Q9Y2Z2;Q9Y2Z2-2;Q9Y2Z2-4;Q9Y2Z2-5;Q9Y2Z2-6,MTO1_HUMAN,MTO1,"Isoform 1 of Protein MTO1 homolog, mitochondrial",MTO1,Q9Y2Z2-2;Q9Y2Z2-4;Q9Y2Z2-6,Q9Y2Z2-2;Q9Y2Z2-4;Q9Y2Z2-6
Q9Y2Z4,Q9Y2Z4,SYYM_HUMAN,YARS2,"Tyrosine--tRNA ligase, mitochondrial",YARS2,Q9Y2Z4,Q9Y2Z4
